Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Precaution_1,Precaution_2,Precaution_3,Precaution_4
urinary tract infection, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,,,,,,,,,,,,,,,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine,,,,,,,,,,,,,,,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
psoriasis, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,,,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
psoriasis, skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,,,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
psoriasis, skin_rash, joint_pain, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,,,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
psoriasis, skin_rash, joint_pain, skin_peeling, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,,,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting, inflammatory_nails,,,,,,,,,,,,,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails,,,,,,,,,,,,,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
psoriasis, skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails,,,,,,,,,,,,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
impetigo, skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze,,,,,,,,,,,,,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
impetigo, skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze,,,,,,,,,,,,,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
impetigo, high_fever, blister, red_sore_around_nose, yellow_crust_ooze,,,,,,,,,,,,,,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze,,,,,,,,,,,,,,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze,,,,,,,,,,,,,,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
impetigo, skin_rash, high_fever, red_sore_around_nose, yellow_crust_ooze,,,,,,,,,,,,,,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
impetigo, skin_rash, high_fever, blister, yellow_crust_ooze,,,,,,,,,,,,,,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
impetigo, skin_rash, high_fever, blister, red_sore_around_nose,,,,,,,,,,,,,,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
impetigo, skin_rash, high_fever, blister, red_sore_around_nose, yellow_crust_ooze,,,,,,,,,,,,,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
impetigo, skin_rash, blister, red_sore_around_nose, yellow_crust_ooze,,,,,,,,,,,,,,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
fungal infection,itching, skin_rash, dischromic _patches,,,,,,,,,,,,,,,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
fungal infection,itching, skin_rash, nodal_skin_eruptions,,,,,,,,,,,,,,,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
fungal infection,itching, skin_rash, dischromic _patches,,,,,,,,,,,,,,,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
fungal infection,itching, skin_rash, nodal_skin_eruptions,,,,,,,,,,,,,,,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,,,,,,,,,,,,,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,apply calamine,cover area with bandage,,use ice to compress itching
allergy, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,,apply calamine,cover area with bandage,,use ice to compress itching
allergy, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,,apply calamine,cover area with bandage,,use ice to compress itching
allergy, continuous_sneezing, shivering, watering_from_eyes,,,,,,,,,,,,,,,apply calamine,cover area with bandage,,use ice to compress itching
allergy, continuous_sneezing, shivering, chills,,,,,,,,,,,,,,,apply calamine,cover area with bandage,,use ice to compress itching
allergy, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,,apply calamine,cover area with bandage,,use ice to compress itching
allergy, continuous_sneezing, chills, watering_from_eyes,,,,,,,,,,,,,,,apply calamine,cover area with bandage,,use ice to compress itching
allergy, continuous_sneezing, shivering, watering_from_eyes,,,,,,,,,,,,,,,apply calamine,cover area with bandage,,use ice to compress itching
allergy, continuous_sneezing, shivering, chills,,,,,,,,,,,,,,,apply calamine,cover area with bandage,,use ice to compress itching
allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,,,,,,,,,,,,,apply calamine,cover area with bandage,,use ice to compress itching
gerd, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
gerd, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
gerd, stomach_pain, acidity, vomiting, cough, chest_pain,,,,,,,,,,,,,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
gerd, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,,,,,,,,,,,,,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
gerd, stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain,,,,,,,,,,,,,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
gerd, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough,,,,,,,,,,,,,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
gerd, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
gerd, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,,,,,,,,,,,,,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
gerd, stomach_pain, acidity, vomiting, cough, chest_pain,,,,,,,,,,,,,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
gerd, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,,,,,,,,,,,,,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,cold baths,anti itch medicine,consult doctor,eat healthy
chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,cold baths,anti itch medicine,consult doctor,eat healthy
chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,cold baths,anti itch medicine,consult doctor,eat healthy
chronic cholestasis,itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,cold baths,anti itch medicine,consult doctor,eat healthy
chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,cold baths,anti itch medicine,consult doctor,eat healthy
chronic cholestasis,itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,,cold baths,anti itch medicine,consult doctor,eat healthy
chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes,,,,,,,,,,,,cold baths,anti itch medicine,consult doctor,eat healthy
chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain,,,,,,,,,,,,cold baths,anti itch medicine,consult doctor,eat healthy
chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,cold baths,anti itch medicine,consult doctor,eat healthy
chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes,,,,,,,,,,,cold baths,anti itch medicine,consult doctor,eat healthy
drug reaction,itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,stop irritation,consult nearest hospital,stop taking drug,follow up
drug reaction,itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,,stop irritation,consult nearest hospital,stop taking drug,follow up
drug reaction,itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,,stop irritation,consult nearest hospital,stop taking drug,follow up
drug reaction,itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,,stop irritation,consult nearest hospital,stop taking drug,follow up
drug reaction,itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,,stop irritation,consult nearest hospital,stop taking drug,follow up
drug reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,,stop irritation,consult nearest hospital,stop taking drug,follow up
drug reaction,itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,,stop irritation,consult nearest hospital,stop taking drug,follow up
drug reaction,itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,,stop irritation,consult nearest hospital,stop taking drug,follow up
drug reaction,itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,,stop irritation,consult nearest hospital,stop taking drug,follow up
drug reaction,itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,,stop irritation,consult nearest hospital,stop taking drug,follow up
peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, passage_of_gases, internal_itching,,,,,,,,,,,,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, internal_itching,,,,,,,,,,,,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases,,,,,,,,,,,,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
aids, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,avoid open cuts,wear ppe if possible,consult doctor,follow up
aids, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,,avoid open cuts,wear ppe if possible,consult doctor,follow up
aids, muscle_wasting, high_fever, extra_marital_contacts,,,,,,,,,,,,,,,avoid open cuts,wear ppe if possible,consult doctor,follow up
aids, muscle_wasting, patches_in_throat, extra_marital_contacts,,,,,,,,,,,,,,,avoid open cuts,wear ppe if possible,consult doctor,follow up
aids, muscle_wasting, patches_in_throat, high_fever,,,,,,,,,,,,,,,avoid open cuts,wear ppe if possible,consult doctor,follow up
aids, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,avoid open cuts,wear ppe if possible,consult doctor,follow up
aids, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,avoid open cuts,wear ppe if possible,consult doctor,follow up
aids, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,,avoid open cuts,wear ppe if possible,consult doctor,follow up
aids, muscle_wasting, high_fever, extra_marital_contacts,,,,,,,,,,,,,,,avoid open cuts,wear ppe if possible,consult doctor,follow up
aids, muscle_wasting, patches_in_throat, high_fever,,,,,,,,,,,,,,,avoid open cuts,wear ppe if possible,consult doctor,follow up
diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,have balanced diet,exercise,consult doctor,follow up
diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,have balanced diet,exercise,consult doctor,follow up
diabetes , weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
diabetes , fatigue, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
diabetes , fatigue, weight_loss, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
diabetes , fatigue, weight_loss, restlessness, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
diabetes , fatigue, weight_loss, restlessness, lethargy, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, excessive_hunger, increased_appetite, polyuria,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, increased_appetite, polyuria,,,,,,,,,have balanced diet,exercise,consult doctor,follow up
gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
gastroenteritis, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
gastroenteritis, vomiting, dehydration, diarrhoea,,,,,,,,,,,,,,,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
gastroenteritis, vomiting, sunken_eyes, diarrhoea,,,,,,,,,,,,,,,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
gastroenteritis, vomiting, sunken_eyes, dehydration,,,,,,,,,,,,,,,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
gastroenteritis, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
gastroenteritis, vomiting, dehydration, diarrhoea,,,,,,,,,,,,,,,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
gastroenteritis, vomiting, sunken_eyes, diarrhoea,,,,,,,,,,,,,,,stop eating solid food for while,try taking small sips of water,rest,ease back into eating
bronchial asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,switch to loose cloothing,take deep breaths,get away from trigger,seek help
bronchial asthma, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,switch to loose cloothing,take deep breaths,get away from trigger,seek help
bronchial asthma, fatigue, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,switch to loose cloothing,take deep breaths,get away from trigger,seek help
bronchial asthma, fatigue, cough, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,switch to loose cloothing,take deep breaths,get away from trigger,seek help
bronchial asthma, fatigue, cough, high_fever, family_history, mucoid_sputum,,,,,,,,,,,,,switch to loose cloothing,take deep breaths,get away from trigger,seek help
bronchial asthma, fatigue, cough, high_fever, breathlessness, mucoid_sputum,,,,,,,,,,,,,switch to loose cloothing,take deep breaths,get away from trigger,seek help
bronchial asthma, fatigue, cough, high_fever, breathlessness, family_history,,,,,,,,,,,,,switch to loose cloothing,take deep breaths,get away from trigger,seek help
bronchial asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,switch to loose cloothing,take deep breaths,get away from trigger,seek help
bronchial asthma, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,switch to loose cloothing,take deep breaths,get away from trigger,seek help
bronchial asthma, fatigue, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,switch to loose cloothing,take deep breaths,get away from trigger,seek help
hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,meditation,salt baths,reduce stress,get proper sleep
hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,meditation,salt baths,reduce stress,get proper sleep
hypertension , headache, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,meditation,salt baths,reduce stress,get proper sleep
hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,meditation,salt baths,reduce stress,get proper sleep
hypertension , headache, chest_pain, dizziness, lack_of_concentration,,,,,,,,,,,,,,meditation,salt baths,reduce stress,get proper sleep
hypertension , headache, chest_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,meditation,salt baths,reduce stress,get proper sleep
hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,meditation,salt baths,reduce stress,get proper sleep
hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,meditation,salt baths,reduce stress,get proper sleep
hypertension , headache, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,meditation,salt baths,reduce stress,get proper sleep
hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,meditation,salt baths,reduce stress,get proper sleep
migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,meditation,reduce stress,use poloroid glasses in sun,consult doctor
migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,meditation,reduce stress,use poloroid glasses in sun,consult doctor
migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,meditation,reduce stress,use poloroid glasses in sun,consult doctor
migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,meditation,reduce stress,use poloroid glasses in sun,consult doctor
migraine, acidity, indigestion, headache, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,meditation,reduce stress,use poloroid glasses in sun,consult doctor
migraine, acidity, indigestion, headache, blurred_and_distorted_vision, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,meditation,reduce stress,use poloroid glasses in sun,consult doctor
migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, depression, irritability, visual_disturbances,,,,,,,,,,meditation,reduce stress,use poloroid glasses in sun,consult doctor
migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, irritability, visual_disturbances,,,,,,,,,,meditation,reduce stress,use poloroid glasses in sun,consult doctor
migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, visual_disturbances,,,,,,,,,,meditation,reduce stress,use poloroid glasses in sun,consult doctor
migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability,,,,,,,,,,meditation,reduce stress,use poloroid glasses in sun,consult doctor
cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance,,,,,,,,,,,,,,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance,,,,,,,,,,,,,,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,,,,,,,,,,,,,,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,massage,eat healthy,exercise,consult doctor
paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,massage,eat healthy,exercise,consult doctor
paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,,massage,eat healthy,exercise,consult doctor
paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,,massage,eat healthy,exercise,consult doctor
paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,,,,,,,,,,,,,,,massage,eat healthy,exercise,consult doctor
paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side,,,,,,,,,,,,,,,massage,eat healthy,exercise,consult doctor
paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,massage,eat healthy,exercise,consult doctor
paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,,massage,eat healthy,exercise,consult doctor
paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,,massage,eat healthy,exercise,consult doctor
paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,,,,,,,,,,,,,,,massage,eat healthy,exercise,consult doctor
jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
jaundice, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
jaundice,itching, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
jaundice,itching, vomiting, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
jaundice,itching, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
jaundice,itching, vomiting, fatigue, weight_loss, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
jaundice,itching, vomiting, fatigue, weight_loss, high_fever, dark_urine, abdominal_pain,,,,,,,,,,,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, abdominal_pain,,,,,,,,,,,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine,,,,,,,,,,,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
malaria, chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain,,,,,,,,,,,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
